Date,Close,Ticker
1980-11-03,1595.2,M2
1980-11-10,1601.2,M2
1980-11-17,1602.9,M2
1980-11-24,1594.8,M2
1980-12-01,1599.8,M2
1980-12-08,1605.3,M2
1980-12-15,1606.3,M2
1980-12-22,1602.5,M2
1980-12-29,1601.8,M2
1981-01-05,1620.7,M2
1981-01-12,1616.7,M2
1981-01-19,1614.4,M2
1981-01-26,1599.8,M2
1981-02-02,1601.0,M2
1981-02-09,1610.7,M2
1981-02-16,1611.8,M2
1981-02-23,1609.0,M2
1981-03-02,1615.7,M2
1981-03-09,1629.4,M2
1981-03-16,1633.5,M2
1981-03-23,1630.9,M2
1981-03-30,1637.5,M2
1981-04-06,1663.6,M2
1981-04-13,1669.5,M2
1981-04-20,1672.1,M2
1981-04-27,1657.1,M2
1981-05-04,1657.3,M2
1981-05-11,1659.1,M2
1981-05-18,1655.8,M2
1981-05-25,1648.4,M2
1981-06-01,1656.7,M2
1981-06-08,1667.5,M2
1981-06-15,1671.1,M2
1981-06-22,1665.4,M2
1981-06-29,1661.8,M2
1981-07-06,1688.5,M2
1981-07-13,1687.5,M2
1981-07-20,1685.6,M2
1981-07-27,1679.3,M2
1981-08-03,1687.4,M2
1981-08-10,1699.3,M2
1981-08-17,1695.9,M2
1981-08-24,1690.5,M2
1981-08-31,1693.3,M2
1981-09-07,1706.4,M2
1981-09-14,1714.4,M2
1981-09-21,1706.1,M2
1981-09-28,1697.7,M2
1981-10-05,1722.1,M2
1981-10-12,1729.4,M2
1981-10-19,1729.5,M2
1981-10-26,1720.8,M2
1981-11-02,1728.3,M2
1981-11-09,1740.8,M2
1981-11-16,1743.8,M2
1981-11-23,1735.2,M2
1981-11-30,1744.6,M2
1981-12-07,1759.2,M2
1981-12-14,1759.1,M2
1981-12-21,1760.2,M2
1981-12-28,1758.2,M2
1982-01-04,1780.1,M2
1982-01-11,1783.3,M2
1982-01-18,1776.5,M2
1982-01-25,1761.4,M2
1982-02-01,1762.5,M2
1982-02-08,1767.9,M2
1982-02-15,1767.1,M2
1982-02-22,1761.3,M2
1982-03-01,1765.5,M2
1982-03-08,1779.6,M2
1982-03-15,1782.9,M2
1982-03-22,1779.7,M2
1982-03-29,1780.8,M2
1982-04-05,1808.5,M2
1982-04-12,1816.3,M2
1982-04-19,1813.8,M2
1982-04-26,1799.4,M2
1982-05-03,1795.3,M2
1982-05-10,1805.0,M2
1982-05-17,1804.9,M2
1982-05-24,1801.9,M2
1982-05-31,1808.8,M2
1982-06-07,1825.5,M2
1982-06-14,1828.9,M2
1982-06-21,1822.6,M2
